id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,name,tags
tm139885,The Other Side Of The Wind,MOVIE,"Surrounded by fans and skeptics, grizzled director J.J. ""Jake"" Hannaford returns from years abroad in Europe to a changed Hollywood, where he attempts to make his innovative comeback film.  This film was started in 1970 but never completed during Welles lifetime.",2018,R,122,drama european,US FR IR,0.0,6.7,7104.0,8.717,6.7,John Huston,"drama european Surrounded by fans and skeptics, grizzled director J.J. ""Jake"" Hannaford returns from years abroad in Europe to a changed Hollywood, where he attempts to make his innovative comeback film.  This film was started in 1970 but never completed during Welles lifetime. US FR IR MOVIE R John Huston"
ts56038,Dave Chappelle,SHOW,"Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials.",2017,NR,60,comedy documentation,US,1.0,8.7,2753.0,2.962,7.6,Dave Chappelle,"comedy documentation Comedy icon Dave Chappelle makes his triumphant return to the screen with a pair of blistering, fresh stand-up specials. US SHOW NR Dave Chappelle"
tm349278,Ravenous,MOVIE,"In an isolated rural community of Quebec, Canada, some inhabitants attack other people, hungry for human flesh. A few survivors gather and go deep into the forest to escape them.",2017,NR,104,horror animation documentation scifi thriller action drama,CA,0.0,5.8,9154.0,11.236,5.8,Thomas Baudre,"horror animation documentation scifi thriller action drama In an isolated rural community of Quebec, Canada, some inhabitants attack other people, hungry for human flesh. A few survivors gather and go deep into the forest to escape them. CA MOVIE NR Thomas Baudre"
ts84574,Salt Fat Acid Heat,SHOW,"Chef and food writer Samin Nosrat travels the world to explore four basic keys to wonderful cooking, serving up feasts and helpful tips along the way.",2018,NR,40,documentation,US,1.0,7.7,2419.0,2.923,8.4,Samin Nosrat,"documentation Chef and food writer Samin Nosrat travels the world to explore four basic keys to wonderful cooking, serving up feasts and helpful tips along the way. US SHOW NR Samin Nosrat"
ts56481,Great News,SHOW,A New Jersey mom puts her relationship with her daughter to the test when she lands an internship at the same TV station where her daughter works.,2017,TV-PG,21,comedy,US,2.0,7.0,6810.0,8.409,6.5,Briga Heelan,comedy A New Jersey mom puts her relationship with her daughter to the test when she lands an internship at the same TV station where her daughter works. US SHOW TV-PG Briga Heelan
ts82560,Dark Tourist,SHOW,"The definition of ""tourism"" is redefined as New Zealand filmmaker David Farrier sets his sights on the world of dark tourism.  From nuclear tourism in Japan to Pablo Escobar-inspired tourism in Columbia to frontier tourism in Turkmenistan, David visits the world’s grisly and offbeat destinations, meeting travelers drawn to them, and the people telling these stories day after day.",2018,TV-MA,41,action documentation,NZ,1.0,7.5,7158.0,11.337,6.5,Sebastián Treviño,"action documentation The definition of ""tourism"" is redefined as New Zealand filmmaker David Farrier sets his sights on the world of dark tourism.  From nuclear tourism in Japan to Pablo Escobar-inspired tourism in Columbia to frontier tourism in Turkmenistan, David visits the world’s grisly and offbeat destinations, meeting travelers drawn to them, and the people telling these stories day after day. NZ SHOW TV-MA Sebastián Treviño"
tm348993,22 July,MOVIE,"In Norway on 22 July 2011, neo-Nazi terrorist Anders Behring Breivik murdered 77 young people attending a Labour Party Youth Camp on Utöya Island outside of Oslo. This three-part story will focus on the survivors of the attacks, the political leadership of Norway, and the lawyers involved.",2018,R,143,thriller history crime drama european,NO US IS,0.0,6.8,33246.0,19.825,7.2,Jonas Strand Gravli,"thriller history crime drama european In Norway on 22 July 2011, neo-Nazi terrorist Anders Behring Breivik murdered 77 young people attending a Labour Party Youth Camp on Utöya Island outside of Oslo. This three-part story will focus on the survivors of the attacks, the political leadership of Norway, and the lawyers involved. NO US IS MOVIE R Jonas Strand Gravli"
tm285107,Victoria & Abdul,MOVIE,Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim.,2017,PG-13,112,drama history,GB US,0.0,6.8,35458.0,12.817,7.0,Judi Dench,drama history Queen Victoria strikes up an unlikely friendship with a young Indian clerk named Abdul Karim. GB US MOVIE PG-13 Judi Dench
tm414962,May The Devil Take You,MOVIE,"Hoping to find answers to her estranged father's mysterious illness, a young woman visits his old villa and uncovers a horrifying truth from the past.",2018,R,110,thriller horror,ID,0.0,5.9,4209.0,11.16,6.3,Chelsea Islan,"thriller horror Hoping to find answers to her estranged father's mysterious illness, a young woman visits his old villa and uncovers a horrifying truth from the past. ID MOVIE R Chelsea Islan"
ts57814,Kakegurui,SHOW,"Hyakkaou Private Academy. An institution for the privileged with a very peculiar curriculum. You see, when you're the sons and daughters of the wealthiest of the wealthy, it's not athletic prowess or book smarts that keep you ahead. It's reading your opponent, the art of the deal. What better way to hone those skills than with a rigorous curriculum of gambling? At Hyakkaou Private Academy, the winners live like kings, and the losers are put through the wringer. But when Yumeko Jabami enrolls, she's gonna teach these kids what a high roller really looks like!",2017,TV-14,24,action animation drama thriller,JP,2.0,7.2,8547.0,98.728,8.3,Tatsuya Tokutake,"action animation drama thriller Hyakkaou Private Academy. An institution for the privileged with a very peculiar curriculum. You see, when you're the sons and daughters of the wealthiest of the wealthy, it's not athletic prowess or book smarts that keep you ahead. It's reading your opponent, the art of the deal. What better way to hone those skills than with a rigorous curriculum of gambling? At Hyakkaou Private Academy, the winners live like kings, and the losers are put through the wringer. But when Yumeko Jabami enrolls, she's gonna teach these kids what a high roller really looks like! JP SHOW TV-14 Tatsuya Tokutake"
